"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","$1 to $9,999 or loss","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $64,999","$65,000 to $74,999","$75,000 to $99,999","$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Earnings in the past 12 months"
"Alabama","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,284,772","26,270","1,439,138","2.6%","5.6%","18.5%","18.6%","20.6%","14.5%","5.3%","6.9%","7.3%","(X)","48,436","","30,910","19,049","25,069","30,318","44,800","54,200","","16.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,185,874","31,765","809,572","2.3%","4.2%","14.5%","16.9%","19.5%","16.3%","6.5%","9.3%","10.6%","42,951","56,279","","37,309","22,453","30,822","39,420","56,149","72,482","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,098,898","21,289","629,566","3.1%","7.4%","23.8%","20.8%","22.1%","12.1%","3.8%","3.8%","3.1%","31,862","38,349","","24,846","13,623","19,331","23,947","36,522","48,770","","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","418,924","34,313","240,390","1.8%","2.6%","11.0%","15.4%","21.6%","16.4%","7.8%","12.3%","11.2%","(X)","58,590","","40,812","22,342","32,173","40,478","50,422","69,222","","15.4%"
