"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Full-time, year-round workers with earnings!!$10,000 to $14,999","Full-time, year-round workers with earnings!!$15,000 to $24,999","Full-time, year-round workers with earnings!!$25,000 to $34,999","Full-time, year-round workers with earnings!!$35,000 to $49,999","Full-time, year-round workers with earnings!!$50,000 to $64,999","Full-time, year-round workers with earnings!!$65,000 to $74,999","Full-time, year-round workers with earnings!!$75,000 to $99,999","Full-time, year-round workers with earnings!!$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Earnings in the past 12 months"
"Alabama","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,279,568","26,791","1,456,813","2.2%","5.1%","17.9%","18.1%","21.5%","14.4%","5.6%","6.8%","8.4%","(X)","49,956","","31,583","18,851","25,691","30,856","46,108","55,187","","21.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,194,976","32,189","822,393","1.8%","4.0%","14.1%","16.1%","21.0%","15.5%","6.8%","8.6%","12.1%","42,913","57,671","","38,453","21,872","31,237","40,054","57,322","75,060","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,084,592","21,841","634,420","2.7%","6.4%","22.9%","20.7%","22.1%","12.9%","4.1%","4.5%","3.7%","32,451","39,954","","25,977","14,680","19,904","25,085","38,689","49,344","","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","426,451","36,106","248,237","1.7%","2.6%","11.6%","13.0%","20.5%","16.6%","7.7%","13.4%","13.0%","(X)","60,968","","42,051","26,262","35,068","40,717","51,719","70,975","","19.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
