"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Full-time, year-round workers with earnings!!$10,000 to $14,999","Full-time, year-round workers with earnings!!$15,000 to $24,999","Full-time, year-round workers with earnings!!$25,000 to $34,999","Full-time, year-round workers with earnings!!$35,000 to $49,999","Full-time, year-round workers with earnings!!$50,000 to $64,999","Full-time, year-round workers with earnings!!$65,000 to $74,999","Full-time, year-round workers with earnings!!$75,000 to $99,999","Full-time, year-round workers with earnings!!$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT ALLOCATED","PERCENT ALLOCATED!!Earnings in the past 12 months"
"Alabama","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,312,645","29,164","1,513,428","2.1%","4.6%","16.8%","17.4%","20.3%","14.8%","5.9%","8.2%","9.8%","(X)","52,869","","33,888","20,524","27,144","31,547","48,304","57,307","","21.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,191,597","35,550","845,043","1.9%","3.5%","12.6%","16.0%","18.5%","16.3%","6.9%","10.2%","14.2%","47,034","61,686","","41,300","24,248","32,314","41,354","62,244","78,381","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,121,048","23,511","668,385","2.5%","6.1%","22.1%","19.3%","22.5%","12.8%","4.6%","5.7%","4.4%","35,012","41,722","","27,485","15,561","21,249","25,835","40,235","50,932","","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","430,665","36,209","241,795","1.8%","1.4%","11.3%","12.2%","19.5%","16.4%","8.5%","13.2%","15.7%","(X)","64,380","","43,493","27,147","32,063","41,663","51,665","75,950","","19.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
