"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Median earnings (dollars) for full-time, year-round workers with earnings","Mean earnings (dollars) for full-time, year-round workers with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree"
"Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,303,395","30,528","1,527,925","25,396","62,276","251,957","269,781","302,470","237,900","90,734","127,603","159,808","41,382","54,437","","35,578","21,601","29,440","32,057","49,520","57,213"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,303,395","(X)","1,527,925","1.7%","4.1%","16.5%","17.7%","19.8%","15.6%","5.9%","8.4%","10.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,201,944","36,713","862,374","12,057","23,763","113,801","133,157","161,960","143,981","58,977","90,494","124,184","48,199","62,835","","42,330","25,787","35,915","41,440","62,626","77,436"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,201,944","(X)","862,374","1.4%","2.8%","13.2%","15.4%","18.8%","16.7%","6.8%","10.5%","14.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,101,451","24,616","665,551","13,339","38,513","138,156","136,624","140,510","93,919","31,757","37,109","35,624","35,414","43,556","","29,400","15,778","21,671","26,824","39,320","51,494"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,101,451","(X)","665,551","2.0%","5.8%","20.8%","20.5%","21.1%","14.1%","4.8%","5.6%","5.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
