"Label (Grouping)","Population 16 years and over with earnings","Population 16 years and over with earnings!!Median earnings (dollars)","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Median earnings (dollars) for full-time, year-round workers with earnings","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Mean earnings (dollars) for full-time, year-round workers with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree"
"Alabama","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,327,295","31,190","1,564,243","29,358","59,647","245,511","267,438","320,478","238,552","94,330","143,756","165,173","41,866","55,898","","36,084","22,738","29,436","32,826","50,081","61,177"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,327,295","(X)","1,564,243","1.9%","3.8%","15.7%","17.1%","20.5%","15.3%","6.0%","9.2%","10.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,208,255","37,457","880,580","13,116","22,697","101,813","135,681","171,478","139,906","61,300","104,702","129,887","49,210","64,685","","43,952","27,126","36,009","43,228","63,089","84,519"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,208,255","(X)","880,580","1.5%","2.6%","11.6%","15.4%","19.5%","15.9%","7.0%","11.9%","14.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,119,040","25,086","683,663","16,242","36,950","143,698","131,757","149,000","98,646","33,030","39,054","35,286","35,854","44,579","","29,529","16,287","21,743","26,923","40,870","52,156"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,119,040","(X)","683,663","2.4%","5.4%","21.0%","19.3%","21.8%","14.4%","4.8%","5.7%","5.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","410,460","40,146","248,975","4,019","5,010","20,383","31,276","46,007","43,480","21,821","33,975","43,004","54,029","68,781","","46,189","25,840","35,328","44,619","57,708","77,402"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","410,460","(X)","248,975","1.6%","2.0%","8.2%","12.6%","18.5%","17.5%","8.8%","13.6%","17.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
