"Label (Grouping)","Population 16 years and over with earnings!!Median earnings (dollars)","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Median earnings (dollars) for full-time, year-round workers with earnings","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Mean earnings (dollars) for full-time, year-round workers with earnings"
"Alabama","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","40,170","1,748,522","33,519","40,988","149,310","245,144","352,627","313,895","126,809","208,969","277,261","51,255","67,708"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","1,748,522","1.9%","2.3%","8.5%","14.0%","20.2%","18.0%","7.3%","12.0%","15.9%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","49,230","974,807","17,956","16,457","58,677","102,035","178,490","181,992","76,710","136,776","205,714","58,026","78,053"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","974,807","1.8%","1.7%","6.0%","10.5%","18.3%","18.7%","7.9%","14.0%","21.1%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","32,068","773,715","15,563","24,531","90,633","143,109","174,137","131,903","50,099","72,193","71,547","42,981","54,674"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","773,715","2.0%","3.2%","11.7%","18.5%","22.5%","17.0%","6.5%","9.3%","9.2%","(X)","(X)"
"Alaska","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","46,996","252,136","3,591","4,290","11,841","23,042","48,375","41,581","21,628","37,862","59,926","61,954","79,836"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","252,136","1.4%","1.7%","4.7%","9.1%","19.2%","16.5%","8.6%","15.0%","23.8%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
