Name,Numeric 1,Numeric 2,Numeric 3,Numeric 4,Numeric 5,Numeric 6,Numeric 7,Numeric 8,Numeric 9,Numeric 10
Alpha,2,7,1,10,2,0.7638568713,0.5764680872,0.3075433446,0.6428953126,0.1175367139
Bravo,9,10,9,1,10,0.212888315,0.369676901,0.7668062422,0.8521331216,0.3766012629
Charlie,4,2,5,4,9,0.4860022365,0.3156397424,0.8024980376,0.2455772745,0.526527498
Delta,2,8,3,1,7,0.7804396155,0.2471962683,0.5151607152,0.7773736729,0.7889810204
Echo,10,3,9,6,5,0.7435102727,0.07988927445,0.008069165637,0.9783553873,0.9068913159
Foxtrot,6,8,3,1,9,0.6768689064,0.2878603772,0.8864447337,0.3833981101,0.9066929194
Golf,3,10,2,7,9,0.7596920276,0.7610105005,0.6353548087,0.1447478467,0.02821217269
Hotel,7,6,6,8,3,0.002524093286,0.5242795946,0.2906295817,0.03591322442,0.7603926281
India,8,8,5,8,5,0.0738640465,0.7593992804,0.248640887,0.4251918372,0.2932441342
Juliet,9,6,7,3,3,0.7383394227,0.9812783029,0.8865935353,0.1223363177,0.4344797873
Kilo,8,2,5,9,5,0.6503454724,0.7769732891,0.03277109375,0.7180956018,0.6119123581
Lima,10,1,1,8,8,0.9945913903,0.5471397995,0.8318620582,0.6331998411,0.9264583884
Mike,3,10,2,4,7,0.818957661,0.4094221856,0.2944149679,0.2457957631,0.4780297232
November,7,3,3,6,8,0.05775836614,0.4046689945,0.2150595646,0.06005990756,0.08693761767
Oscar,2,4,9,9,3,0.7553302443,0.746660725,0.9829079459,0.2361979883,0.5456098792
Papa,3,5,5,5,10,0.3648174007,0.1661657277,0.4906298889,0.3330184788,0.3280320276
Quebec,6,2,1,2,8,0.6754156704,0.4887917577,0.8512092809,0.7694165198,0.08421177763
Romeo,8,6,3,7,1,0.6875752158,0.1862392479,0.6724595376,0.8240746181,0.7939677536
Sierra,4,8,10,9,4,0.3647554231,0.102620829,0.6865804211,0.1519559814,0.8061266695
Tango,2,4,2,2,6,0.7735012916,0.7889105779,0.675487933,0.09431755116,0.8363854393
Uniform,1,2,5,9,4,0.3792613399,0.1489626983,0.02011193775,0.2233104444,0.8049581408
Victor,10,7,8,4,10,0.418111022,0.9978700324,0.6325637717,0.8769432989,0.1947580468
Whiskey,3,7,5,7,3,0.9212411078,0.6124290569,0.4611390819,0.2263295698,0.2184084998
X-ray,2,2,2,4,10,0.4069641654,0.7239346895,0.8836838554,0.3433174554,0.5317341556
Yankee,3,10,10,5,4,0.3333962863,0.2625050188,0.02442258837,0.5889835726,0.8616658487
Zulu,7,9,3,1,8,0.1981472054,0.680160173,0.5279303517,0.5905454682,0.4619303432
